pkg_name,app_name,developer,star,review,download,rating,update_date,description,app_type,size,engines,vt_5,vt_detection,sha
ru.androidtools.countries_of_the_world,Countries of the World - quiz,Android Tools (ru),4.5star,953 reviews,100K+,Everyone,"Jun 29, 2023","Traveling these days is very fashionable, but very expensive. There are few people among us who can easily jump into a plane and fly to the end of the world. But, as a rule, you always want to go far away, be sure to see all the countries and their capitals, and, of course, their famous sights, many of which are real wonders of the world. You know, Venice is sinking, Notre Dame is burned, and Vesuvius is going to blow up and sleep Pompeii again... However, if you are aware of the cultural tragedies of the last hundred years, and are sure that you know all the countries and capitals, perfectly oriented in the names of cities, continents and even foreign Internet domains are familiar to you - the section ""Countries of the world quiz"" if created specifically for you.    When developing our application were taken into account all the wishes and needs of travelers - real and virtual. Only in our directory of the world collected the most complete information needed when traveling to a particular state - from the area and the national currency to the form of government and telephone code.   Application ""Countries of the world"" for easy use is divided into several parts:- countries (look in the directory is useful when planning the details of the trip or just intending to pump their knowledge);- continents (do you know which continent is Cape Verde or Djibouti?);- wonders of the world (this part tells about the most famous sights of the world and where to look for them);- the game (for those who like to show erudition and test yourself);- quiz (20 questions about different countries, flags, coats of arms and other interesting things).As not only a nice but also a useful bonus the app offers:- a thematic article about the countries in your favorite Wikipedia;- demonstration of the world on the map.     How to visit the Colosseum and not spend a single Euro? Walk along the great wall of China and then swing across the ocean to admire the waterfalls of Iguazu in Brazil? Our application will help you to make all these fantastic trips quickly, interestingly, and most importantly - for free.",Education,13047901,,0.0,[0.0],101678C9AB707AF1791983C963ECF3BC7EF8E6D809A2B694001CA507939A6B87
t.cash.loans.tcash,,,,,,,,,,4698361,not-a-virus:heur:adware.androidos.fakeapp.aw android.riskware.fakeapp.tc,2.0,[2.0],8840F2434308F75DCCA42CF7ECD4BC02EA594EE9D143F6509407FC1DBEEC8C0C
com.ronald.inverted.white.and.cyan.iconpack,Inverted White Cyan Icon Pack,Ronald Dwk,,,100+,Mature 17+,"Jul 18, 2023","Icon Pack contains 5600+ HD Icons for mobile phones and tablets, tap on ""See More"" at the bottom of the page or search for ""Ronald Dwk"" for more icon packs, there are over 300 icon packs both free & paid to choose from in different colors, shapes and designs.Website:✨✨✨https://ronalddwk.comPlease feel free to contact me if you have any questions.😊😊😊ronalddwk@gmail.cominfo@ronalddwk.comInstall Notes:---------------------• Install and open the app.• Tap on 'Apply' and select your launcher, Done.• Navigate to app drawer to preview icons, wallpaper, icon request, faqs and app settings.Features:---------------• 5600+ Icons• Icon Masking• Tutorial in app• 56 Folder Icons• 157 App Drawers• Analog Clock (Widget)• 448 Dynamic Calendars• Wallpaper save location• App Light and Dark theme• FAQs with search function• Option To Bookmark Icons• Option To Search Wallpapers• 100 HD cloud based wallpapers• Icon previews with search function• Localization: Supports 19 languages• Quick apply for your default launcher• Regular & Premium Icon Request Options• Firebase Cloud Messaging (Update Notifications)• EXTRAS-Lots of alternatives to mix and match eg...System, WhatsApp etc...• Supports 42 launchers, there might be more supported launchers which I haven't tested yet.👍Compatible with the following Launchers:👍Action, ADW, Apex, Blackberry, CM Theme Engine, Flick, GO, Holo, Holo HD, Hyperion, Kiss, Lawnchair, Lg Home, Lucid, Microsoft, Neo, Niagara, Nougat, Nova, One UI, Pixel, Poco, Posidon, Smart , Solo, Square & ZenUI.Fully Compatible but not Included in Apply Section: 👍Apply via your Launcher👍ABC, Arrow, ASAP, Apolo, Atom, Aviate, Cobo, Computer Launcher Win 10 Gold, Evie, GO-EX, Launch by Quixey Launcher, Line, M, Mesh, Mini, Next, Novel, Open, Peek, V, Windows Launcher X Prime, Z & Zero.N.B: I have tested on the above launchers, there might be more supported launchers which hasn't been tested yet.STOCK PHONE LAUNCHERS 🤷‍♂️DO NOT SUPPORT custom Icon Packs🤷‍♂️ , you can try 👌Awesome Icons👌 or 👌Unicon-Icon Themer👌 to change icons manually on your stock launcher.N.B: Some Launchers require to change some icons IndividuallyHow To Change Icons Individually-----------------------------------------------------1.Hold down the specific icon and release it, then a small pop-up will appear.2.It will allow you to change the icon and the name. 3.Select the icon, this will show your icon packs, select IWC IP and choose your favourite icon, Built-in Search Feature within the App.• Recommended Launcher: Nova Launcher",Personalization,50110662,,0.0,[0.0],1A31DF27649623C8E46396BD02B58619E0901581FA42E39B01CF0145850C8599
com.ArunD.VijayDeverakondaStickers,Vijay Deverakonda Stickers,ArunD,,,50K+,Teen,"Dec 2, 2022","Vijay Deverakonda was an Indian best film actor, producer. Vijay Deverakonda belongs to the Tollywood Telugu film industry. And Vijay Deverakonda was the best actor in the Telugu film industry.  Vijay Deverakonda has many fans following all over the world. And many fans are loving Vijay Deverakonda. So We made Vijay Deverakonda the best film stickers. So we add some Vijay Deverakonda acting film categories and Single images.-Arjun Reddy-Dear Comrade-Geetha Govindam-Nota-Pelli Choopulu-Taxiwaala -World Famous Lover-SingleIn these categories, we offer you to find the best sticker packs. So you can choose the one you like or all you want. *Vijay Deverakonda StickersHow to use this app:--Install and open the app-Tap on the '+' OR 'ADD BUTTON'-confirm the action, it should show the success message-Open App and go to the chat screen-Tap on the emoji button-you will see a new sticker icon at the button-Tap on it, and you can now use this sticker packSo you download and install it on your mobile and use it your best way, Thank You.",Social,10157149,,0.0,[0.0],92F47264F9BB4754E2421C39D6DF24BAB5378DCC7635DEEA518EA40662F51ED9
com.ohealthapps.fatburningworkout,Fat Burning Workout for Women,OHealthApps Studio,4.4star,2.38K reviews,1M+,Everyone,"Aug 24, 2023","Effective fat burning workout for women and men to lose weight and burn fat at home. Along with weight loss, an extreme fat loss workout helps to lose fat from the stomach, arm, leg, back, and hip, and maintain a healthy weight without equipment.      Get fit and lose fat with workout for women at home - Fat loss app. fat burning is a type of exercise to lose weight that helps burn side fat with other parts. Just work out for a few minutes daily to shed love handles, lose fat from chest to legs, and be free from obesity at home.  Losing belly fat can be challenging for busy moms. Fat Burning Workout plan provides a list of stomach fat burning workouts, arm, chest, and butt workouts, which are good for burning full body fat and strengthening your whole body at home.  Start your fat loss program and aim to lose weight, burn fat at home, and maintain women's fitness levels every day.  Special features* Free Fat burning workout suitable for both beginner and pro.* App includes a list of belly fat burning workout, arm workout, chest workout, butt workout, and abs workouts for women* Workout remainder helps to increase fitness level* Stretching workouts for better flexibility* BMI calculator to track burned calories and check fat loss progress* Fat loss App act as a personal trainer with instruction to promote you to the next levels* 30 days exercise routine and customized workout reminder* Workouts for beginner to advanced levels inspire you to do workouts more.* Healthy suggestions and tips to lose fat fast.* Fat loss diet plan, both Standard and vegetarian with shopping list suggestions Advanced Fat Loss Extreme* Fitness workouts for female and male helps to tone the full body and burn full fat.* Burn calories and lose fat with this intense workout which is known for being easy to practice.* Don’t need equipment for home workout* Full Body HIIT workout –all from bodyweight  Fat Burning Cardio Workouts * Home cardio workout that loses fat and builds muscle * Effective low impact workouts for all * Daily cardio that burns belly fat for women  Fat Loss Workout AppFat loss workouts are effective ways to enhance fat burning. Home workouts provide daily full-body quick workouts and core workout routines to lose the full body fat in a slow and steady way for your legs, belly, arms, etc..  Fat Loss Workout for WomenFull-body workouts plan for women designed to lose fat in the lower and upper body with your own body weight. Follow the workout in order and burn away your stomach fat at home.Belly Fat Burning WorkoutHow to lose belly fat at Home? Daily workout at home for all your main muscle groups and burn more calories to lose stomach fat. Just have to spend a few minutes a day with belly fat exercises for women without equipment, at your own convenience, anytime at Home. ",Health & Fitness,15328519,,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",95EEF3A3CBB16EEECEEB0FE74A1854A9483961AE86691A36407B829AA9D97AC4
com.fake.video.chat,,,,,,,,,,13483919,adware.androidos.hiddenad.a!c android.hiddenad.afb93 (adware) adware.hiddenad.android.6912 adware:android/hiddenad.2a4680d3 adlibrary:generisk a variant of android/fakechat.a potentially unwanted not-a-virus:heur:adware.androidos.hiddenad.ty pua.androidos.fakechat not-a-virus:heur:adware.androidos.hiddenad.ty adware/hiddenad!android,10.0,[10.0],1F643E37D1040AF92F6ACA69CD27E0AA980E345826C11E17986F125425E975E3
com.robinvanrodeman.cow,Cow Sounds,Robino Apps,4.4star,48 reviews,10K+,Everyone,"Jul 29, 2023",*Muuuuh* Now you can make cow sounds and talk to Betsy  yourself !Or annoy peopleAdd your own custom sound recorded from in the app!Just press the button and listen to all the sounds.Longclick to save the sounds to a local folder to use in other apps !Longclick to save as notification soundLongclick to save as ringtone sound.Loop sounds with the loop button at the top.Any suggestions or questions ? Be sure to mails us !Have fun and enjoy,Entertainment,9430701,,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",286922FA52C074280699DCB2153F950EE8B9AA95121B0CD65CCA7D2A4F4D5361
com.mt.potovdomkerashs.lvnyssa,,,,,,,,,,20667554,,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0B73D36423F07421811CAB052182DC34D48EC892F6455948AD61B0A3168806A1
com.lomolsoft.language.learnlatvian,Learn Latvian | Latvian Transl,lomol language,,,5K+,Everyone,"Feb 15, 2023","""Learn Latvian"" to quickly learn Latvian daily vocabulary and daily phrases, simple and practical, let you easily communicate with foreigners""Learn Latvian"" is a good help to improve Latvian speaking and Latvian listening.The main function:1. Learn Latvian vocabulary, including dozens of vocabulary learning, real human pronunciation, clear and easy to learn2. Learn Latvian phrases, including dozens of categories of phrase learning, real human pronunciation, clear and easy to learn3. Support recording function, convenient for users to compare learning, To improve Latvian speaking and Latvian listening4. Support list and card display methods for learning5. Provide simulation test function, convenient for users to carry out staged self-test6. Support online translation function, this function is mainly for translation between source language and Latvian7. Support for the collection functionSoftware introduction:1. A Latvian vocabulary learning software   Learn Latvian vocabulary, Learn Latvian vocabulary is so easy2. A Latvian phrase Learn software   Learn Latvian phrase, Learn Latvian phrases is so easy3. A Latvian translation software   Support Latvian online translation, most languages support online pronunciation functionmain feature:1. The interface is beautiful and generous2. Offline LearnIf you encounter any software related problems during use, please contact us (you can email us via email)In the follow-up, we will continue to develop related software in other languages according to the needs, so that everyone can communicate and learn in daily life, so stay tuned!",Education,45808692,elf.trojan.a1679081 androidos/trojan.xljb-5 adlibrary:generisk a variant of android/packed.jiagu.d potentially unsafe trojan.etecer.bv4dkr.37 pua.androidos.jiagu riskware/packaginguntrustworthyjiagu!android,7.0,[7.0],FD5B86BEBA8EBCB9D3B1C05D5DCC393A46408D1F465AD2723AE43BEB9A284275
com.SpellCheck.TypeandSpeak.WordPronunciationChecker,Spell and Pronounce It Right,AppsCaps,4.4star,8.58K reviews,1M+,Everyone,"Aug 18, 2023","Learn English pronunciation with AI and spell checker app is a light weight app to check english pronunciation of words, this app has both functionality, pronunciation check and spelling check. English Pronunciation with learn english app app which helps you to learn actual pronunciation and spelling of words.learn english and Spell check and english pronouncing with AI by a simple and easy to use app which also features called as STT and TTS. Learn english by Just typing your text or copied text, and paste it in the text box, tap on speaker button to listen what you have typed or pasted to learn exact english pronunciation.Learn english pronunciation with text to speak that includes a lot of beautiful features like text input, copy text, clear the text box, sharing results and a lot more.How to use word learn english pronouncing and spell check app:-After installing, go to word pronouncing-write a word and press speaker button to get it pronounce-Go to spell check-press mic button-speak a word or sentence and get it spelled accuratelyYou can use learn engllish pronunciation, spell check and word pronouncing app on randomly basis as a practice and it will affect your pronunciation and also works as a spell checker in a right way. The learn english pronunciation app will help you how do you pronounce a word and how do you spell the words, phrases, sentences and many more. It is a basic and advanced training tool to improve your speaking. just write your word or sentence and then listen to the pronunciation.Learn english pronunciation has all languages word pronunciation and spell checker app will guide you on how do you pronounce words or how do you spell the word. You have to listen word when type if you don’t know the word pronunciation and you have to speak if you don’t know the correct spelling of a word.learn english pronunciation app has both functionalities pronunciation check as well as spelling check. It is useful tool for all the language learners. The app supports multiple languages covering all the major languages of the world in one app. You can Speak in all major languages and app will check your Spell.If you are in doubt on how do you pronounce words or phrase correctly then learn english pronunciation is a right place. Just open the app and type in your word if you want to know the word pronunciation and speak your word or phrase if you want to know the spelling of the word, sentence or phrase, the app will finish the job and meets your demands.learn english & Text to Speech is a simple and easy to use text to voice converter that is really helpful in learning english pronunciation. It provides easy type and speak option in eleven different languages. Just type your text or copy it, in the text box, tap on speaker button to listen what you have typed or pasted. Learn english pronunciation & Text to speak includes a lot of beautiful features like text input, text to voice converter, Copy text, save audio of text, clear the text box and a lot more.Learn english pronunciation and Audio To Text converter app provide user to get their Audio in the form of voice to text converter. Now, with 'Audio to Text converter or speak to text' you can convert voice note to text accurately because it is a Voice typing in all languages! It converts audio of all languages. Easily translate audio to text within no time with all new Audio to Text converter app. speech to text online voice recognition in all languages.How can I learn English pronunciation or how do you spell the word in English? or how do you pronounce words or spell English Words or sentences Fluently? So, we made this English word pronunciation and spell checker app that teaches you how do you pronounce and spell English words in both American accent and British Accent.Download Learn English Pronunciation & Spell Checker to improve your writing and speaking skills.",Productivity,11010284,,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",7E0048F66DEE9694750F7115B09AB898018FE08FD488F238BA1C45426B9EB871
com.lomolsoft.language.learnczech,Learn Czech | Czech Translator,lomol language,,,5K+,Everyone,"Feb 14, 2023","""Learn Czech"" to quickly learn Czech daily vocabulary and daily phrases, simple and practical, let you easily communicate with foreigners""Learn Czech"" is a good help to improve Czech speaking and Czech listening.The main function:1. Learn Czech vocabulary, including dozens of vocabulary learning, real human pronunciation, clear and easy to learn2. Learn Czech phrases, including dozens of categories of phrase learning, real human pronunciation, clear and easy to learn3. Support recording function, convenient for users to compare learning, To improve Czech speaking and Czech listening4. Support list and card display methods for learning5. Provide simulation test function, convenient for users to carry out staged self-test6. Support online translation function, this function is mainly for translation between source language and Czech7. Support for the collection functionSoftware introduction:1. A Czech vocabulary learning software    Learn Czech vocabulary is so easy2. A Czech phrase Learn software   Learn Czech phrases is so easy3. A Czech translation software   Support Czech online translation, most languages support online pronunciation functionmain feature:1. Easy to use, easy and fast2. The interface is beautiful and generous3. Offline LearnIf you encounter any software related problems during use, please contact us (you can email us via email)In the follow-up, we will continue to develop related software in other languages according to the needs, so that everyone can communicate and learn in daily life, so stay tuned!",Education,41029981,elf.trojan.a3393412 androidos/trojan.xljb-5 adlibrary:generisk a variant of android/packed.jiagu.d potentially unsafe pua.androidos.jiagu riskware/packaginguntrustworthyjiagu!android,6.0,[6.0],C855FF2E23CB62ED1BB68E9AC69DAD47B4A8674615D9222977815A0E311517F1
ahbabto.zawjat,رواية احببت زوجة اخي,AlfaCoupé,,,5K+,Everyone,"Jan 18, 2022","A novel I loved my brother's wife by Wafaa KamalHello all lovers of novels and stories, I am now pleased to present a novel by writer Wafaa Kamal entitled ""I loved my brother's wife"", which ranked first in the trend as a result of achieving great fame and success in the Arab world, and people search for it in search engines. I strongly advise you to read How to Forgive, because it is a novel full of exciting eventsAs it turned out before, a novel entitled ""I loved my brother's wife"" is a real masterpiece, and one of the biggest mistakes in your life is if you did not read, I loved my brother's wifeWould you like to read ""I loved my brother's wife""? Would you like to read a novel I loved my brother's wife?Next to the book, you can download the application of a novel I loved my brother's wifeEnjoy with us now reading the sweetest and most beautiful romance novels. ❤️ 🔥 A novel I loved my brother's wife: Wafaa KamalThere is no conflict of interest in the novel I loved my brother's wifeYou can download it from Google Play Store, where it is one of the best applications ever. A novel I loved my brother's wife is dedicated to the Android platform, and you can use it for freeCharacteristics of the novel I loved my brother's wife:* Direct reading* Notification feature* Clear writing* Free app* Easy to use interfaceA novel I loved my brother's wife is characterized by a simple and attractive interface to use. It is also small in size, can be downloaded easily and does not affect storage space.Stay tuned for new novels and books from our group, such as:Novel I loved my stepmotherMy brother's wife's novelA novel, marry me times, my brotherThe novel of an expatriate wifeNovel I loved my sister's husbandMy brother's widow novelThe novel of the wife of the son of the assetsNovel I loved a homelessNovel I loved my fatherNovel I loved my daughter's nannyThe novel of the wife of the son of the assetsNovel wife for the tenth timeNovel I loved almost deadNovel I loved a police officerNovel I loved FotonFor all inquiries, please contact us via email. thank you.",Books & Reference,10293313,malicious (score: 99) android/fakeapp.fkpv.gen detected trojan.androidos.fakeapp riskware/scamapp!android,5.0,[5.0],DDA8704515DBC90C35A3332BD99723942336AEAEA179388BCA467854CC6A855A
com.lomolsoft.dict.kedict,Korean English Dictionary | Ko,lomol language,4.4star,84 reviews,5K+,Everyone,"Feb 9, 2023","The dictionary supports both offline and online translation, automatic retrieval of Chinese and English input, easy to use, support Chinese. English. Japanese. Korean. French. German. Spanish online translation and pronunciation, support English online listening learningThe main function:1. English-Korean offline translation2. Support Chinese. English. Japanese. Korean. French. German. Spanish online translation and pronunciation3. Support English online listening learning4. Support the new word record function5. Support history query record functionmain feature:1. Easy to use, easy and fast2. Offline online support at the same time3. The interface is beautiful and generousIf you encounter any software related problems during use, please contact us (you can email us via email)In the follow-up, we will continue to develop related dictionaries in other languages according to our needs, so that everyone can communicate and learn in daily life, so stay tuned!",Books & Reference,34447180,elf.trojan.a3184698 androidos/trojan.ytkp-0 apprisk:generisk a variant of android/packed.jiagu.d potentially unsafe artemis program:win32/uwamson.a!ml android.win32.robtes.dc riskware/packaginguntrustworthyjiagu!android,6.0,[6.0],1F49A940205CBECDB128A70BF42073E9EA2FA2CCCC514CAD4996A4B3D8C15782
com.lomolsoft.net.enpltranslation,Polish English Translation,lomol translator,,,1K+,Everyone,"May 6, 2023","English-Polish translation is a fast translation of English and Polish online, a good helper for tourism exchangeThe main function:1. Polish English online fast translation2. Provide online voice broadcast in Polish English3. Support voice input4. Automatically save history5. Provide collection functionmain feature:1. Translation is fast and accurate2. Easy and fast operation3. The interface is simple and easy to useIn the process of use, if you encounter problems or suggestions, you can contact us by email or submit an evaluation at the same time in the market.If you need translation software in other languages, you can also ask us. Every feedback from users is the source of our progress.Thank you!",Books & Reference,6641021,elf.trojan.a1679081 android.malware.general (score:7) trojan ( 0053576b1 ) androidos/trojan.ytkp-0 a variant of android/packed.jiagu.d potentially unsafe pua.androidos.jiagu android.win32.robtes.dc riskware/packaginguntrustworthyjiagu!android,8.0,[8.0],53E9B04101B4257E3F1D5341424CFB43D131AB37AAA36A1B210D79C7894BC912
com.lomolsoft.language.learngeorgian,Learn Georgian and Phrases,lomol language,4.1star,616 reviews,10K+,Everyone,"Feb 14, 2023","""Learn Georgian"" to quickly learn Georgian daily vocabulary and daily phrases, simple and practical, let you easily communicate with foreigners""Learn Georgian"" is a good help to improve Georgian speaking and Georgian listening.The main function:1. Learn Georgian vocabulary, including dozens of vocabulary learning, real human pronunciation, clear and easy to learn2. Learn Georgian phrases, including dozens of categories of phrase learning, real human pronunciation, clear and easy to learn3. Support recording function, convenient for users to compare learning, To improve Georgian speaking and Georgian listening4. Support list and card display methods for learning5. Provide simulation test function, convenient for users to carry out staged self-test6. Support online translation function, this function is mainly for translation between source language and Georgian7. Support for the collection functionSoftware introduction:1. A Georgian vocabulary learning software   Learn Georgian vocabulary, Learn Georgian vocabulary is so easy2. A Georgian phrase Learn software   Learn Georgian phrase, Learn Georgian phrases is so easy3. A Georgian translation software   Support Georgian online translation, most languages support online pronunciation functionmain feature:1. Easy to use, easy and fast2. The interface is beautiful and generous3. Offline LearnIf you encounter any software related problems during use, please contact us (you can email us via email)In the follow-up, we will continue to develop related software in other languages according to the needs, so that everyone can communicate and learn in daily life, so stay tuned!",Education,77996610,elf.trojan.a3184698 androidos/trojan.xljb-5 adlibrary:generisk a variant of android/packed.jiagu.d potentially unsafe pua.androidos.jiagu riskware/packaginguntrustworthyjiagu!android,6.0,[6.0],296EC7DE97EC900F178D849EED67668694C8940FFF6A70915252B164A8878F57
com.lomolsoft.language.learncatalan,Learn Catalan phrases,lomol language,,,10K+,Everyone,"Feb 14, 2023","""Learn Catalan"" to quickly learn Catalan daily vocabulary and daily phrases, simple and practical, let you easily communicate with foreigners""Learn Catalan"" is a good help to improve Catalan speaking and Catalan listening.The main function:1. Learn Catalan vocabulary, including dozens of vocabulary learning, real human pronunciation, clear and easy to learn2. Learn Catalan phrases, including dozens of categories of phrase learning, real human pronunciation, clear and easy to learn3. Support recording function, convenient for users to compare learning, To improve Catalan speaking and Catalan listening4. Support list and card display methods for learning5. Provide simulation test function, convenient for users to carry out staged self-test6. Support online translation function, this function is mainly for translation between source language and Catalan7. Support for the collection functionmain feature:1. Easy to use, easy and fast2. The interface is beautiful and generous3. Offline LearnIf you encounter any software related problems during use, please contact us (you can email us via email)In the follow-up, we will continue to develop related software in other languages according to the needs, so that everyone can communicate and learn in daily life, so stay tuned!",Education,39297934,trojan.ewind.android.782 trojan ( 0053576b1 ) a variant of android/packed.jiagu.d potentially unsafe trojan.generic.gwslx trojan.etecer.bub6gd.23 pua.androidos.jiagu riskware/packaginguntrustworthyjiagu!android,7.0,[7.0],422F6C757EE64F1553CAB326A4DE6E96DD6EB6B520BF018D362E26786C539398
com.foqii.phone.security.virus.cleaner.antivirus,,,,,,,,,,20899357,,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",B8BEC2DEC87478C71BB201E867DB0B13A5721A0433B18243309EA2EC74425FD2
com.lomolsoft.language.learntamil,Learn Tamil | Tamil Translator,lomol language,,,1K+,Everyone,"Feb 15, 2023","""Learn Tamil"" to quickly learn Tamil daily vocabulary and daily phrases, simple and practical, let you easily communicate with foreigners""Learn Tamil"" is a good help to improve Tamil speaking and Tamil listening.The main function:1. Learn Tamil vocabulary, including dozens of vocabulary learning, real human pronunciation, clear and easy to learn2. Learn Tamil phrases, including dozens of categories of phrase learning, real human pronunciation, clear and easy to learn3. Support recording function, convenient for users to compare learning, To improve Tamil speaking and Tamil listening4. Support list and card display methods for learning5. Provide simulation test function, convenient for users to carry out staged self-test6. Support online translation function, this function is mainly for translation between source language and Tamil7. Support for the collection functionSoftware introduction:1. A Tamil vocabulary learning software   Learn Tamil vocabulary, Learn Tamil vocabulary is so easy2. A Tamil phrase Learn software   Learn Tamil phrase, Learn Tamil phrases is so easy3. A Tamil translation software   Support Tamil online translation, most languages support online pronunciation functionmain feature:1. Easy to use, easy and fast2. The interface is beautiful and generous3. Offline LearnIf you encounter any software related problems during use, please contact us (you can email us via email)In the follow-up, we will continue to develop related software in other languages according to the needs, so that everyone can communicate and learn in daily life, so stay tuned!",Education,47384694,elf.trojan.a3184698 androidos/trojan.xljb-5 apprisk:generisk a variant of android/packed.jiagu.d potentially unsafe artemis pua.androidos.jiagu android.win32.robtes.dc riskware/packaginguntrustworthyjiagu!android,8.0,[8.0],EF6D32ED0FDF1FC75CAA0B845023460E9DE5319ABB7FAD7976BE9700AE629C05
